chinese_name,code_name,overridenametextid,nameprefixid,overridepartnerskilltextid,ispal,tribe,bpclass,pictorial_id,zukanindexsuffix,size,rarity,element_1,element_2,genuscategory,organization,weapon,weaponequip,hp,melee_attack,remote_attack,defense,support,craftspeed,being_damage_multiplier,capture_probability,experience_multiplier,price,airresponse,aisightresponse,slow_walking_speed,walking_speed,running_speed,riding_sprint_speed,handling_speed,isboss,istowerboss,battlebgm,ignoreleanback,ignoreblowaway,maxfullstomach,fullstomachdecreaserate,foodamount,viewingdistance,viewingangle,hearingrate,noosetrap,nocturnal,biologicalgrade,predator,edible,endurance,male_probability,fecundity,breathing_fire,watering,planting,generate_electricity,manual,collection,logging,mining,oilextraction_not_shown_in_game,pharmaceutical,cool_down,carry,pasture,passive_skills
Victor & Heterogeneous Griffin,GYM_BlackGriffon,PAL_NAME_SnowBoss,GYM_NAME_Snow,PARTNERSKILL_lackGriffon,True,EPalTribeID::BlackGriffon,GYM_BlackGriffon,-2,,XL,10,Dark,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,8000,130,200,220,90,100,100%,100%,30,9060,Warlike,,80,80,850,1100,465,True,True,EPalBattleBGMType::TowerBoss,True,True,525,1,8,25,90,1,False,True,9,False,True,100,100,9999,0,0,0,0,0,1,0,0,0,0,0,0,0,"[<NA>, <NA>, <NA>, <NA>]"
Zoe & Lightning Bear,GYM_ElecPanda,PAL_NAME_GrassBoss,GYM_NAME_Meadow,PARTNERSKILL_lecPanda,True,EPalTribeID::ElecPanda,GYM_ElecPanda,-2,,XL,8,Electricity,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,6000,100,100,100,100,100,100%,100%,30,6610,Warlike,,80,140,470,650,287,True,True,EPalBattleBGMType::TowerBoss,True,True,475,1,6,25,90,1,False,False,9,True,True,100,0,9999,0,0,0,3,2,0,2,0,0,0,0,3,0,"[<NA>, <NA>, <NA>, <NA>]"
Marcus & Horus,GYM_Horus,PAL_NAME_DessertBoss,GYM_NAME_Desert,PARTNERSKILL_orus,True,EPalTribeID::Horus,GYM_Horus,-2,,XL,9,Fire,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,False,6500,100,120,125,90,100,100%,100%,30,6720,Warlike,,150,200,1000,1300,500,True,True,EPalBattleBGMType::TowerBoss,True,True,525,1,8,25,90,1,False,False,9,False,True,100,100,9999,3,0,0,0,0,0,0,0,0,0,0,3,0,"[<NA>, <NA>, <NA>, <NA>]"
Lily & Lily Queen,GYM_LilyQueen,PAL_NAME_ForestBoss,GYM_NAME_Forest,PARTNERSKILL_ilyQueen,True,EPalTribeID::LilyQueen,GYM_LilyQueen,-2,,XL,9,Leaf,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,5500,100,110,105,100,100,100%,100%,30,6510,Warlike,,60,100,450,650,275,True,True,EPalBattleBGMType::TowerBoss,True,True,475,1,6,25,90,1,False,False,9,False,True,100,0,9999,0,0,3,0,2,2,0,0,0,3,0,0,0,"[<NA>, <NA>, <NA>, <NA>]"
Axel & Pollux,GYM_ThunderDragonMan,PAL_NAME_VolcanoBoss,GYM_NAME_Volcano,PARTNERSKILL_hunderDragonMan,True,EPalTribeID::ThunderDragonMan,GYM_ThunderDragonMan,-2,,XL,9,Dragon,Electricity,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,6500,100,140,110,100,100,100%,100%,30,8320,Warlike,,100,185,900,1300,542,True,True,EPalBattleBGMType::TowerBoss,True,True,475,1,7,25,90,1,False,False,9,False,True,100,100,9999,0,0,0,3,2,0,0,0,0,0,0,3,0,"[<NA>, <NA>, <NA>, <NA>]"
does not appear in the game,BadCatgirl,,,,True,EPalTribeID::BadCatgirl,BadCatgirl,-1,,XL,0,Dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,90,90,100,100,100%,100%,1,4690,Warlike,,-1,-1,-1,-1,-1,False,False,EPalBattleBGMType::Cute,False,False,225,1,3,25,90,1,False,True,0,False,True,100,50,0,0,0,0,0,2,3,1,0,0,0,0,2,0,"[<NA>, <NA>, <NA>, <NA>]"
does not appear in the game,BlueberryFairy,,,,True,EPalTribeID::BlueberryFairy,BlueberryFairy,-1,,XL,0,Leaf,Dark,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,100,100,100,100,100%,100%,1,8200,Escape_to_Battle,,-1,-1,-1,-1,-1,False,False,EPalBattleBGMType::Cute,False,False,225,1,3,25,90,1,False,False,0,False,True,100,50,0,0,0,2,0,1,2,0,0,0,3,0,1,0,"[<NA>, <NA>, <NA>, <NA>]"
Melupa,BOSS_Alpaca,PAL_NAME_Alpaca,BOSS_NAME_Alpaca,PARTNERSKILL_Alpaca,True,EPalTribeID::Alpaca,BOSS_Alpaca,-1,,XL,3,Normal,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,90,90,90,90,100,100,40%,70%,10,3040,NotInterested,,62,62,460,900,261,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1,3,25,90,1,False,False,9,False,True,100,50,890,0,0,0,0,0,0,0,0,0,0,0,0,1,"[<NA>, <NA>, <NA>, <NA>]"
Blue Flame Wolf,BOSS_AmaterasuWolf,PAL_NAME_AmaterasuWolf,BOSS_NAME_AmaterasuWolf,PARTNERSKILL_AmaterasuWolf,True,EPalTribeID::AmaterasuWolf,BOSS_AmaterasuWolf,-1,,XL,6,Fire,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,100,70,115,100,110,100,20%,70%,10,3170,Boss,,80,130,700,1000,415,True,False,EPalBattleBGMType::FieldBoss,False,False,300,1,4,25,90,1,False,False,9,True,True,100,50,830,2,0,0,0,0,0,0,0,0,0,0,0,0,"[<NA>, <NA>, <NA>, <NA>]"
Anubis,Boss_Anubis,PAL_NAME_Anubis,BOSS_NAME_Anubis,PARTNERSKILL_Anubis,True,EPalTribeID::Anubis,Boss_Anubis,-1,,XL,10,Earth,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,120,130,130,100,100,100,20%,70%,10,9190,Boss,,80,160,800,1000,480,True,False,EPalBattleBGMType::FieldBoss,False,False,400,1,6,25,90,1,False,False,9,True,True,100,50,570,0,0,0,0,4,0,0,3,0,0,0,2,0,"['ElementBoost_Earth_2_PAL', <NA>, <NA>, <NA>]"
does not appear in the game,BOSS_BadCatgirl,PAL_NAME_BadCatgirl,BOSS_NAME_BadCatgirl,PARTNERSKILL_BadCatgirl,True,EPalTribeID::BadCatgirl,BOSS_BadCatgirl,-1,,XL,0,Dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,100,100,100,100,20%,70%,10,4690,Boss,,-1,-1,-1,-1,-1,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1,3,25,90,1,False,True,9,False,True,100,50,0,0,0,0,0,2,3,1,0,0,0,0,2,0,"[<NA>, <NA>, <NA>, <NA>]"
炎魔羊,BOSS_Baphomet,PAL_NAME_Baphomet,BOSS_NAME_Baphomet,PARTNERSKILL_Baphomet,True,EPalTribeID::Baphomet,BOSS_Baphomet,-1,,XL,4,Fire,Dark,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,95,150,100,85,100,100,20%,70%,10,4780,Boss,,80,160,700,960,320,True,False,EPalBattleBGMType::FieldBoss,False,False,300,1,4,25,90,1,False,True,9,True,True,100,50,590,1,0,0,0,2,0,0,1,0,0,0,2,0,"[<NA>, <NA>, <NA>, <NA>]"
